conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_17,17,ASSISTANT,You've got it. I'll send an email confirmation with your movie ticket information.,"[{""start_index"":0,""end_index"":13,""text"":""You've got it"",""annotations"":[{""name"":""movie_ticket.ticket_booking""}]}]",test
dlg-007fd36a-ad44-4454-969a-141feaaef982,dlg-007fd36a-ad44-4454-969a-141feaaef982_3,3,USER,"Yeah. My favorite movie genre is horror. So, I was looking for some kind of horror film?","[{""start_index"":33,""end_index"":39,""text"":""horror"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":76,""end_index"":82,""text"":""horror"",""annotations"":[{""name"":""movie_search.genre""}]}]",train
dlg-007fd36a-ad44-4454-969a-141feaaef982,dlg-007fd36a-ad44-4454-969a-141feaaef982_5,5,USER,I'll know. I'm just looking for a nice horror movie for tonight.,"[{""start_index"":39,""end_index"":45,""text"":""horror"",""annotations"":[{""name"":""movie_search.genre""}]}]",train
dlg-007fd36a-ad44-4454-969a-141feaaef982,dlg-007fd36a-ad44-4454-969a-141feaaef982_6,6,ASSISTANT,How about Babadook?,"[{""start_index"":10,""end_index"":18,""text"":""Babadook"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-007fd36a-ad44-4454-969a-141feaaef982,dlg-007fd36a-ad44-4454-969a-141feaaef982_7,7,USER,"Okay, Yeah. That sounds good. Is it available on Redbox?","[{""start_index"":49,""end_index"":55,""text"":""Redbox"",""annotations"":[{""name"":""movie_search.streaming_service""}]}]",train
dlg-0098730d-ab71-49a5-b8a9-808bcceb1f44,dlg-0098730d-ab71-49a5-b8a9-808bcceb1f44_2,2,USER,Yeah. I want the movie to be Anchorman.,"[{""start_index"":29,""end_index"":38,""text"":""Anchorman"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0098730d-ab71-49a5-b8a9-808bcceb1f44,dlg-0098730d-ab71-49a5-b8a9-808bcceb1f44_4,4,USER,Yeah. Is that movie found on Redbox?,"[{""start_index"":29,""end_index"":35,""text"":""Redbox"",""annotations"":[{""name"":""movie_search.streaming_service""}]}]",train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_1,1,USER,"Hi, I am in Tacoma, Washington near the University of Puget and I'm planning a movie night out.","[{""start_index"":12,""end_index"":30,""text"":""Tacoma, Washington"",""annotations"":[{""name"":""movie_search.location.theater""}]},{""start_index"":31,""end_index"":59,""text"":""near the University of Puget"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_3,3,USER,Comedy.,"[{""start_index"":0,""end_index"":6,""text"":""Comedy"",""annotations"":[{""name"":""movie_search.genre""}]}]",train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_10,10,ASSISTANT,Baywatch.,"[{""start_index"":0,""end_index"":8,""text"":""Baywatch"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_11,11,USER,"No, I'm looking for the least commercial movie available, the least mainstream?","[{""start_index"":24,""end_index"":78,""text"":""least commercial movie available, the least mainstream"",""annotations"":[{""name"":""movie_search.other_description""}]}]",train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_13,13,ASSISTANT,How about the movie Rough Night?,"[{""start_index"":20,""end_index"":31,""text"":""Rough Night"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_1,1,USER,I wonder if you would help me find a movie to see out tonight. I am in La Jolla near UC San Diego.,"[{""start_index"":71,""end_index"":79,""text"":""La Jolla"",""annotations"":[{""name"":""movie_search.location.theater""}]},{""start_index"":80,""end_index"":97,""text"":""near UC San Diego"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_3,3,USER,"Yeah, definitely. So, I'm looking to see something new, like a new release as of today or yesterday, and something exciting action-adventure, fight scenes, chase, something like that.","[{""start_index"":51,""end_index"":54,""text"":""new"",""annotations"":[{""name"":""movie_search.other_description""}]},{""start_index"":124,""end_index"":140,""text"":""action-adventure"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":81,""end_index"":86,""text"":""today"",""annotations"":[{""name"":""movie_search.release_date""}]},{""start_index"":90,""end_index"":99,""text"":""yesterday"",""annotations"":[{""name"":""movie_search.release_date""}]},{""start_index"":142,""end_index"":161,""text"":""fight scenes, chase"",""annotations"":[{""name"":""movie_search.other_description""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_4,4,ASSISTANT,May I suggest a sci-fi movie?,"[{""start_index"":16,""end_index"":22,""text"":""sci-fi"",""annotations"":[{""name"":""movie_search.genre""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_6,6,ASSISTANT,War for the Planet of the Apes.,"[{""start_index"":0,""end_index"":30,""text"":""War for the Planet of the Apes"",""annotations"":[{""name"":""movie_search.name.movie""},{""name"":""movie_ticket.name.movie""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_7,7,USER,"Oh, Yeah. I've actually been hearing good thing about that one. Did Tim Burton direct that movie?","[{""start_index"":68,""end_index"":78,""text"":""Tim Burton"",""annotations"":[{""name"":""movie_search.real_person""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_8,8,ASSISTANT,The director of this movie is Matt Reeves.,"[{""start_index"":30,""end_index"":41,""text"":""Matt Reeves"",""annotations"":[{""name"":""movie_search.real_person""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_9,9,USER,"Oh, Okay. Cool. I've never seen his work I don't think. So, when is it playing near me?","[{""start_index"":79,""end_index"":86,""text"":""near me"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_10,10,ASSISTANT,Is playing at the ArcLight La Jolla.,"[{""start_index"":18,""end_index"":35,""text"":""ArcLight La Jolla"",""annotations"":[{""name"":""movie_search.name.theater""},{""name"":""movie_ticket.name.theater""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_11,11,USER,And what What time? Can I see it around like 7:00 or 8:00 p.m.?,"[{""start_index"":33,""end_index"":49,""text"":""around like 7:00"",""annotations"":[{""name"":""movie_search.time.start""}]},{""start_index"":53,""end_index"":62,""text"":""8:00 p.m."",""annotations"":[{""name"":""movie_search.time.start""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_12,12,ASSISTANT,"7:00p.m, 9:15p.m, 11:00p.m.","[{""start_index"":0,""end_index"":7,""text"":""7:00p.m"",""annotations"":[{""name"":""movie_search.time.start""}]},{""start_index"":9,""end_index"":16,""text"":""9:15p.m"",""annotations"":[{""name"":""movie_search.time.start""}]},{""start_index"":18,""end_index"":26,""text"":""11:00p.m"",""annotations"":[{""name"":""movie_search.time.start""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_13,13,USER,7:00 sounds great. How much will the ticket cost there?,"[{""start_index"":0,""end_index"":4,""text"":""7:00"",""annotations"":[{""name"":""movie_search.time.start""},{""name"":""movie_ticket.time.start""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_14,14,ASSISTANT,$8.50 per person.,"[{""start_index"":0,""end_index"":16,""text"":""$8.50 per person"",""annotations"":[{""name"":""movie_search.price.ticket""}]}]",validation
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_16,16,ASSISTANT,I can book the ticket for you.,"[{""start_index"":0,""end_index"":29,""text"":""I can book the ticket for you"",""annotations"":[{""name"":""movie_ticket.ticket_booking""}]}]",validation
dlg-00eed9c5-5fe7-4754-967b-b19f20cbb98f,dlg-00eed9c5-5fe7-4754-967b-b19f20cbb98f_1,1,USER,"Hi. I'm looking to watch a movie at home, preferably a drama film like Saving Private Ryan featuring Tom Hanks or Steven Spielberg.","[{""start_index"":55,""end_index"":60,""text"":""drama"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":71,""end_index"":90,""text"":""Saving Private Ryan"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":101,""end_index"":110,""text"":""Tom Hanks"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":114,""end_index"":130,""text"":""Steven Spielberg"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":55,""end_index"":90,""text"":""drama film like Saving Private Ryan"",""annotations"":[{""name"":""movie_search.other_description""}]},{""start_index"":91,""end_index"":130,""text"":""featuring Tom Hanks or Steven Spielberg"",""annotations"":[{""name"":""movie_search.other_description""}]}]",train
dlg-00eed9c5-5fe7-4754-967b-b19f20cbb98f,dlg-00eed9c5-5fe7-4754-967b-b19f20cbb98f_3,3,ASSISTANT,"These are the options for you, Captain Phillips, The Terminal, Catch Me If You Can and Road To Perdition.","[{""start_index"":31,""end_index"":47,""text"":""Captain Phillips"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":49,""end_index"":61,""text"":""The Terminal"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":63,""end_index"":82,""text"":""Catch Me If You Can"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":87,""end_index"":104,""text"":""Road To Perdition"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-00eed9c5-5fe7-4754-967b-b19f20cbb98f,dlg-00eed9c5-5fe7-4754-967b-b19f20cbb98f_4,4,USER,Road to Perdition sounds pretty good. Is that on iTunes?,"[{""start_index"":0,""end_index"":17,""text"":""Road to Perdition"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":49,""end_index"":55,""text"":""iTunes"",""annotations"":[{""name"":""movie_search.streaming_service""}]}]",train
dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf,dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf_4,4,USER,"I was thinking a comedy movie. I really love Seth Rogen and director Judy Apatow. And one of my favorite movies of all time is Superbad. So, if you have something similar, that would be great.","[{""start_index"":17,""end_index"":23,""text"":""comedy"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":45,""end_index"":55,""text"":""Seth Rogen"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":69,""end_index"":80,""text"":""Judy Apatow"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":127,""end_index"":135,""text"":""Superbad"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":153,""end_index"":170,""text"":""something similar"",""annotations"":[{""name"":""movie_search.other_description""}]}]",validation
dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf,dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf_7,7,ASSISTANT,I was able to find Pineapple Express and knocked up.,"[{""start_index"":19,""end_index"":36,""text"":""Pineapple Express"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":41,""end_index"":51,""text"":""knocked up"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",validation
dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf,dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf_8,8,USER,Tell me more about Pineapple Express.,"[{""start_index"":19,""end_index"":36,""text"":""Pineapple Express"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",validation
dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf,dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf_11,11,ASSISTANT,"A lazy stoner (Seth Rogen) is the sole witness to a murder by an evil drug lord (Gary Cole) and a corrupt cop (Rosie Perez). Marked for death, he runs for his life, dragging his dazed dealer (James Franco) and his supplier (Danny McBride) with him on a hilarious pot-fueled adventure.","[{""start_index"":15,""end_index"":25,""text"":""Seth Rogen"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":81,""end_index"":90,""text"":""Gary Cole"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":111,""end_index"":122,""text"":""Rosie Perez"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":192,""end_index"":204,""text"":""James Franco"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":224,""end_index"":237,""text"":""Danny McBride"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":0,""end_index"":283,""text"":""A lazy stoner (Seth Rogen) is the sole witness to a murder by an evil drug lord (Gary Cole) and a corrupt cop (Rosie Perez). Marked for death, he runs for his life, dragging his dazed dealer (James Franco) and his supplier (Danny McBride) with him on a hilarious pot-fueled adventure"",""annotations"":[{""name"":""movie_search.other_description""}]}]",validation
dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf,dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf_12,12,USER,"Alright, that sounds pretty funny. I'll check it out. It's available on Amazon, right?","[{""start_index"":72,""end_index"":78,""text"":""Amazon"",""annotations"":[{""name"":""movie_search.streaming_service""}]}]",validation
dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf,dlg-0115f9c1-8c39-479c-ba29-f4d4df3d0ebf_15,15,ASSISTANT,It is available on Amazon for purchase at $12.99.,"[{""start_index"":19,""end_index"":25,""text"":""Amazon"",""annotations"":[{""name"":""movie_search.streaming_service""}]},{""start_index"":42,""end_index"":48,""text"":""$12.99"",""annotations"":[{""name"":""movie_search.price.streaming""}]}]",validation
dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea,dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea_3,3,USER,I want an action movie with Tom Cruise.,"[{""start_index"":10,""end_index"":16,""text"":""action"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":28,""end_index"":38,""text"":""Tom Cruise"",""annotations"":[{""name"":""movie_search.real_person""}]}]",train
dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea,dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea_5,5,USER,It should be three out of five stars.,"[{""start_index"":13,""end_index"":36,""text"":""three out of five stars"",""annotations"":[{""name"":""movie_search.audience_rating""}]}]",train
dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea,dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea_7,7,ASSISTANT,There is an upcoming movie with Tom Cruise on June 9th.,"[{""start_index"":32,""end_index"":42,""text"":""Tom Cruise"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":46,""end_index"":54,""text"":""June 9th"",""annotations"":[{""name"":""movie_search.release_date""}]}]",train
dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea,dlg-01599c67-f4dd-4138-b61d-4c8bbe6647ea_9,9,ASSISTANT,It is The Mummy.,"[{""start_index"":6,""end_index"":15,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-016fa80d-7457-455c-be8e-275192159c17,dlg-016fa80d-7457-455c-be8e-275192159c17_2,2,USER,I'm in Las Vegas near the MGM Grand hotel.,"[{""start_index"":17,""end_index"":41,""text"":""near the MGM Grand hotel"",""annotations"":[{""name"":""movie_search.location.theater""}]},{""start_index"":7,""end_index"":16,""text"":""Las Vegas"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",train
dlg-016fa80d-7457-455c-be8e-275192159c17,dlg-016fa80d-7457-455c-be8e-275192159c17_5,5,USER,"Yeah, I'd like to see an action film tonight.","[{""start_index"":25,""end_index"":31,""text"":""action"",""annotations"":[{""name"":""movie_search.genre""}]}]",train
dlg-016fa80d-7457-455c-be8e-275192159c17,dlg-016fa80d-7457-455c-be8e-275192159c17_6,6,ASSISTANT,"Okay, how about The Mummy or Wonder Woman?","[{""start_index"":29,""end_index"":41,""text"":""Wonder Woman"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":16,""end_index"":25,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-016fa80d-7457-455c-be8e-275192159c17,dlg-016fa80d-7457-455c-be8e-275192159c17_7,7,USER,The Mummy.,"[{""start_index"":0,""end_index"":9,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-016fa80d-7457-455c-be8e-275192159c17,dlg-016fa80d-7457-455c-be8e-275192159c17_8,8,ASSISTANT,Okay. The Mummy is playing at 6:55 p.m.,"[{""start_index"":30,""end_index"":38,""text"":""6:55 p.m"",""annotations"":[{""name"":""movie_search.time.start""}]},{""start_index"":6,""end_index"":15,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-016fa80d-7457-455c-be8e-275192159c17,dlg-016fa80d-7457-455c-be8e-275192159c17_9,9,USER,At 6:55 p.m? Is there one later?,"[{""start_index"":3,""end_index"":11,""text"":""6:55 p.m"",""annotations"":[{""name"":""movie_search.time.start""}]}]",train
