conversation_id,example_id,source_id,input_text,target_text,split
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_8_9__g1,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_8_9,How about Losing Sleep by Chris Young?,What about Losing Sleep by Chris Young?,train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_8_9__g2,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_8_9,How about Losing Sleep by Chris Young?,Would you like to hear Losing Sleep by Chris Young?,train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_11_13__g1,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_11_13,Female singer? Let me see what I can find. Here is the song called When You Say Nothing At All by Alison Krauss.,A female singer? Let me check what I can find for you. Here is the song When You Say Nothing At All by Alison Krauss.,train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_11_13__g2,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_11_13,Female singer? Let me see what I can find. Here is the song called When You Say Nothing At All by Alison Krauss.,Are you looking for a female singer? Let me see what I can find. Here is Alison Krauss's song called When You Say Nothing At All.,train
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_0_4__g1,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_0_4,Here's the song You should be taking flight right now.,I'm providing the song You should be taking flight right now.,validation
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_0_4__g2,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_0_4,Here's the song You should be taking flight right now.,Here is the track You should be taking flight right now.,validation
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_5_7__g1,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_5_7,Here is the song King of Sorrow by August Burns Red.,I have provided the song King of Sorrow by August Burns Red.,validation
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_5_7__g2,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_5_7,Here is the song King of Sorrow by August Burns Red.,August Burns Red's song King of Sorrow is here for you.,validation
dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_1_4__g1,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_1_4,"Let me see what I can find?Here is The Greatest, by Sia. Here is another song by Sia, this one is Elastic Heart.","Let me check what I can find for you. Here is The Greatest by Sia, and here is another Sia song called Elastic Heart.",train
dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_1_4__g2,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_1_4,"Let me see what I can find?Here is The Greatest, by Sia. Here is another song by Sia, this one is Elastic Heart.","I'll see what I can find. I have The Greatest by Sia here, along with another track by Sia titled Elastic Heart.",train
dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_5_8__g1,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_5_8,"Here is Sia, performing Bird Set Free.",Here is a performance of Bird Set Free by Sia.,train
dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_5_8__g2,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_5_8,"Here is Sia, performing Bird Set Free.",I have Sia performing Bird Set Free for you here.,train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_0_1__g1,dlg-01216494-fbba-4866-817e-01c5326f8912_0_1,"Here is your song, Close Your Eyes by Michael Buble.","I have your song here, Close Your Eyes by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_0_1__g2,dlg-01216494-fbba-4866-817e-01c5326f8912_0_1,"Here is your song, Close Your Eyes by Michael Buble.","Here is the track you requested, Close Your Eyes by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_3_4__g1,dlg-01216494-fbba-4866-817e-01c5326f8912_3_4,"Sure, here we go. It's a Beautiful Day by Michael Buble.","Of course, here is ""It's a Beautiful Day"" by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_3_4__g2,dlg-01216494-fbba-4866-817e-01c5326f8912_3_4,"Sure, here we go. It's a Beautiful Day by Michael Buble.","Certainly, here is the song ""It's a Beautiful Day"" by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_6_7__g1,dlg-01216494-fbba-4866-817e-01c5326f8912_6_7,"Here is your song, LOVE by Michael Buble.","I have your song here, LOVE by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_6_7__g2,dlg-01216494-fbba-4866-817e-01c5326f8912_6_7,"Here is your song, LOVE by Michael Buble.","Please enjoy your song, LOVE by Michael Buble.",train
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_0_1__g1,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_0_1,Here's the song Perfect places by Lorde.,I have here the song Perfect places by Lorde.,test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_0_1__g2,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_0_1,Here's the song Perfect places by Lorde.,"Here is Lorde's song, Perfect places.",test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_2_3__g1,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_2_3,Here's the song Royals by Lorde.,I have the song Royals by Lorde for you.,test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_2_3__g2,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_2_3,Here's the song Royals by Lorde.,"Here is Lorde's song, Royals.",test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_4_5__g1,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_4_5,Here's the song Royals remix by Rick Ross.,I have the Royals remix by Rick Ross for you here.,test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_4_5__g2,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_4_5,Here's the song Royals remix by Rick Ross.,Here is the Rick Ross version of the Royals remix.,test
dlg-013fffb7-bb46-480f-b17c-765239f37d7a,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_1_8__g1,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_1_8,How about Set Me Free? Here's Set Me Free by Diplo. How about Diplo Revolution? Here's Diplo-Revolution.,Would you like to hear Set Me Free? Here is Set Me Free by Diplo. How about Diplo Revolution? Here is Diplo-Revolution.,train
dlg-013fffb7-bb46-480f-b17c-765239f37d7a,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_1_8__g2,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_1_8,How about Set Me Free? Here's Set Me Free by Diplo. How about Diplo Revolution? Here's Diplo-Revolution.,What about Set Me Free? I'll play Set Me Free by Diplo for you. How about Diplo Revolution? Here is Diplo-Revolution.,train
dlg-013fffb7-bb46-480f-b17c-765239f37d7a,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_9_12__g1,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_9_12,How about Big Sean Sacrifices? Here's Big Sean-Sacrifices.,Would you like to hear Big Sean Sacrifices? Here is Big Sean-Sacrifices.,train
dlg-013fffb7-bb46-480f-b17c-765239f37d7a,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_9_12__g2,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_9_12,How about Big Sean Sacrifices? Here's Big Sean-Sacrifices.,What about Big Sean Sacrifices? I have Big Sean-Sacrifices for you here.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_0_2__g1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_0_2,Here's Highway to Hell by AC/DC.,I am playing Highway to Hell by AC/DC for you.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_0_2__g2,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_0_2,Here's Highway to Hell by AC/DC.,Here is the song Highway to Hell by AC/DC.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_3_8__g1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_3_8,Here's a similar song. It's called Eye Of The Tiger by Survivor. Here's We Will Rock You by Queen.,"I have a similar song for you called Eye Of The Tiger by Survivor. Also, here is We Will Rock You by Queen.",train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_3_8__g2,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_3_8,Here's a similar song. It's called Eye Of The Tiger by Survivor. Here's We Will Rock You by Queen.,"Here is a similar track, Eye Of The Tiger by Survivor. Additionally, here is We Will Rock You by Queen.",train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_9_10__g1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_9_10,Here's Michael Jackson Beat It.,I have Michael Jackson's Beat It for you here.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_9_10__g2,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_9_10,Here's Michael Jackson Beat It.,Here is the song Beat It by Michael Jackson.,train
dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511,dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511_4_24__g1,dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511_4_24,"Okay, let me see who I can find based on Alter Bridge. Have you heard of Seether or Staind? How about days of the new or p.o.d? Let me see what I can find by p.o.d. Here is Beautiful by p.o.d. Here is a satellite by p.o.d.",Let me check for artists similar to Alter Bridge. Are you familiar with Seether or Staind? What about days of the new or p.o.d? I will look for some p.o.d. tracks for you. Here is Beautiful by p.o.d. and here is satellite by p.o.d.,train
dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511,dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511_4_24__g2,dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511_4_24,"Okay, let me see who I can find based on Alter Bridge. Have you heard of Seether or Staind? How about days of the new or p.o.d? Let me see what I can find by p.o.d. Here is Beautiful by p.o.d. Here is a satellite by p.o.d.",I'll see what I can find based on Alter Bridge. Have you listened to Seether or Staind? How about days of the new or p.o.d? Let me look for some p.o.d. music. Here is Beautiful by p.o.d. and here is satellite by p.o.d.,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_2_10__g1,dlg-020ce3d1-20d4-4376-b459-373e92661e20_2_10,Here is the song called Drumming Song lyrics by Florence and the Machine. How about Shake It Out by Florence and the Machine?,I have provided the lyrics for Drumming Song by Florence and the Machine. Would you like to hear Shake It Out by Florence and the Machine as well?,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_2_10__g2,dlg-020ce3d1-20d4-4376-b459-373e92661e20_2_10,Here is the song called Drumming Song lyrics by Florence and the Machine. How about Shake It Out by Florence and the Machine?,Here are the lyrics to Drumming Song by Florence and the Machine. How about I provide Shake It Out by Florence and the Machine for you?,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_13_14__g1,dlg-020ce3d1-20d4-4376-b459-373e92661e20_13_14,Here is an old song called Dog Days Are Over by Florence and the Machine.,I have an old song for you titled Dog Days Are Over by Florence and the Machine.,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_13_14__g2,dlg-020ce3d1-20d4-4376-b459-373e92661e20_13_14,Here is an old song called Dog Days Are Over by Florence and the Machine.,Here is a classic track called Dog Days Are Over by Florence and the Machine.,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_16_17__g1,dlg-020ce3d1-20d4-4376-b459-373e92661e20_16_17,How about Too Much Is Never Enough by Florence and the Machine?,Would you like to listen to Too Much Is Never Enough by Florence and the Machine?,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_16_17__g2,dlg-020ce3d1-20d4-4376-b459-373e92661e20_16_17,How about Too Much Is Never Enough by Florence and the Machine?,Would you like to hear Too Much Is Never Enough by Florence and the Machine?,train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_2_15__g1,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_2_15,"OK. Justin Timberlake. Let's see what else I can find that you may not be familiar with. Looks like the artist Robin Thicke may be similar/have similar style/might be a close match/etc. Another is Pharrel . Are either of those new to you? Here is a song ""Happy"" by Pharrel Williams. Here is the song called Come Get It Bae by the artist Pharrell Williams.","Alright, Justin Timberlake. Let me see what other artists you might not know. It appears that Robin Thicke has a similar style and could be a good match. Pharrell is another option. Are either of those unfamiliar to you? Here is the song ""Happy"" by Pharrell Williams, and here is the song ""Come Get It Bae"" by Pharrell Williams.",train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_2_15__g2,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_2_15,"OK. Justin Timberlake. Let's see what else I can find that you may not be familiar with. Looks like the artist Robin Thicke may be similar/have similar style/might be a close match/etc. Another is Pharrel . Are either of those new to you? Here is a song ""Happy"" by Pharrel Williams. Here is the song called Come Get It Bae by the artist Pharrell Williams.","OK, Justin Timberlake. Let's look for some artists you might not be familiar with. It seems Robin Thicke might be a close match due to a similar style. Another artist is Pharrell. Are either of those new to you? I have here the song ""Happy"" by Pharrell Williams, as well as the song ""Come Get It Bae"" by Pharrell Williams.",train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_18_19__g1,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_18_19,Ok let's look for something based on another of your favorite artists.,"Alright, let's find something based on one of your other favorite artists.",train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_18_19__g2,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_18_19,Ok let's look for something based on another of your favorite artists.,"Okay, let's search for something inspired by another of your favorite artists.",train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_20_29__g1,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_20_29,"Here is the song Yeah by the artist Usher featuring Lil Jon, Ludacris. Here is the song called DJ Got Us Falling In Love Again by the artist Usher featuring Pitbull.","I have here the song Yeah by Usher featuring Lil Jon and Ludacris, as well as the song DJ Got Us Falling In Love Again by Usher featuring Pitbull.",train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_20_29__g2,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_20_29,"Here is the song Yeah by the artist Usher featuring Lil Jon, Ludacris. Here is the song called DJ Got Us Falling In Love Again by the artist Usher featuring Pitbull.","Here are the songs: Yeah by Usher featuring Lil Jon and Ludacris, and DJ Got Us Falling In Love Again by Usher featuring Pitbull.",train
dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de,dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de_0_13__g1,dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de_0_13,"Is this by Lady Gaga, is that correct? Here is 'Just like heaven' by The Cure. Would you like it by The Cure? Here is 'Pictures of you' by The Cure. Here is 'Lullaby' by The Cure.",Am I correct that this is by Lady Gaga? I have 'Just like heaven' by The Cure here. Do you want the one by The Cure? Here is 'Pictures of you' by The Cure. And here is 'Lullaby' by The Cure.,validation
dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de,dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de_0_13__g2,dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de_0_13,"Is this by Lady Gaga, is that correct? Here is 'Just like heaven' by The Cure. Would you like it by The Cure? Here is 'Pictures of you' by The Cure. Here is 'Lullaby' by The Cure.","Is this by Lady Gaga, right? I've got 'Just like heaven' by The Cure for you. Would you like the version by The Cure? Here is 'Pictures of you' by The Cure. Here is 'Lullaby' by The Cure as well.",validation
dlg-02426869-9323-446c-91f0-46a6aec6b287,dlg-02426869-9323-446c-91f0-46a6aec6b287_0_11__g1,dlg-02426869-9323-446c-91f0-46a6aec6b287_0_11,It gives you a different feel.,It provides a different vibe.,validation
dlg-02426869-9323-446c-91f0-46a6aec6b287,dlg-02426869-9323-446c-91f0-46a6aec6b287_0_11__g2,dlg-02426869-9323-446c-91f0-46a6aec6b287_0_11,It gives you a different feel.,It offers a different feeling.,validation
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_0_4__g1,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_0_4,Mr Jones by Counting Crows.,Mr Jones by Counting Crows.,train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_0_4__g2,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_0_4,Mr Jones by Counting Crows.,"Counting Crows' song, Mr Jones.",train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_5_6__g1,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_5_6,Palisades Park by Counting Crows.,Palisades Park by Counting Crows.,train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_5_6__g2,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_5_6,Palisades Park by Counting Crows.,Counting Crows' Palisades Park.,train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_8_9__g1,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_8_9,Round Here by Jupiter Jones.,Round Here by Jupiter Jones.,train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_8_9__g2,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_8_9,Round Here by Jupiter Jones.,Jupiter Jones's Round Here.,train
dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_0_2__g1,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_0_2,"Sure, Ariadne grande coming up. Here is Ariana Grande side to side.","Certainly, Ariadne grande is next. Here is Ariana Grande's side to side.",test
dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_0_2__g2,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_0_2,"Sure, Ariadne grande coming up. Here is Ariana Grande side to side.","Of course, Ariadne grande is coming up. Here is the song side to side by Ariana Grande.",test
dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_3_7__g1,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_3_7,Here is Ariana Grande into you off of the dangerous woman album.,I have here Ariana Grande's song 'into you' from the album dangerous woman.,test
dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_3_7__g2,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_3_7,Here is Ariana Grande into you off of the dangerous woman album.,"Here is the track 'into you' by Ariana Grande, which is featured on the dangerous woman album.",test
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_1_4__g1,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_1_4,How about Gil Scott - Heron performing Pieces Of A Man.,How about Gil Scott - Heron performing Pieces Of A Man.,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_1_4__g2,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_1_4,How about Gil Scott - Heron performing Pieces Of A Man.,Would you like to hear Gil Scott - Heron's Pieces Of A Man?,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_7_8__g1,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_7_8,How about Thelonious Monk performing Don't Blame Me?,Would you like to hear Thelonious Monk performing Don't Blame Me?,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_7_8__g2,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_7_8,How about Thelonious Monk performing Don't Blame Me?,How about a performance of Don't Blame Me by Thelonious Monk?,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_9_11__g1,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_9_11,Heroes Morning dance performed by Spyro Gyra.,Heroes Morning dance performed by Spyro Gyra.,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_9_11__g2,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_9_11,Heroes Morning dance performed by Spyro Gyra.,The performance of Heroes Morning dance by Spyro Gyra.,train
dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20,dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20_2_7__g1,dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20_2_7,Here's the song Hey Jude by the Beatles. Here's the song Here Comes the Sun by The Beatles. Here is the song Let It Be by the Beatles from the album Let It Be.,"I have provided the song Hey Jude by the Beatles. Here is Here Comes the Sun by the Beatles. Also, here is the song Let It Be by the Beatles from the album Let It Be.",train
dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20,dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20_2_7__g2,dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20_2_7,Here's the song Hey Jude by the Beatles. Here's the song Here Comes the Sun by The Beatles. Here is the song Let It Be by the Beatles from the album Let It Be.,"Here is the Beatles song Hey Jude. Here is Here Comes the Sun by the Beatles. Additionally, here is the song Let It Be by the Beatles from the album Let It Be.",train
dlg-0300b764-6e70-42e0-9403-cda9a0711761,dlg-0300b764-6e70-42e0-9403-cda9a0711761_0_1__g1,dlg-0300b764-6e70-42e0-9403-cda9a0711761_0_1,Here is the song Roar by Katy Perry.,I have provided the song Roar by Katy Perry for you.,validation
